Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,75682,IBUPROFEN,IBUPROFEN,20160706,Nonsteroidal Anti-inflammatory Drug,,APOTHECA INC,2008/11/20-,12634-171; 12634-191; 12634-682,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0396bfec-afe1-460c-8141-e8ad877b4bc0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0396bfec-afe1-460c-8141-e8ad877b4bc0,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0396bfec-afe1-460c-8141-e8ad877b4bc0,0396bfec-afe1-460c-8141-e8ad877b4bc0
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,78558,IBUPROFEN,IBUPROFEN,20160531,Nonsteroidal Anti-inflammatory Drug,,DIRECT RX,2014/01/01-,61919-124; 61919-125; 61919-126,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/207ebbc7-eae4-45f3-9ae3-4845479632ad/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=207ebbc7-eae4-45f3-9ae3-4845479632ad,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=207ebbc7-eae4-45f3-9ae3-4845479632ad,207ebbc7-eae4-45f3-9ae3-4845479632ad
HUMAN OTC DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,72096,Ibuprofen,IBUPROFEN,20160419,Nonsteroidal Anti-inflammatory Drug,,CENTRAL TEXAS COMMUNITY HEALTH CENTERS,2003/06/24-,76413-313,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2542cbee-3aca-4a2d-b9f8-07a86b0b3a43/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2542cbee-3aca-4a2d-b9f8-07a86b0b3a43,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2542cbee-3aca-4a2d-b9f8-07a86b0b3a43,2542cbee-3aca-4a2d-b9f8-07a86b0b3a43
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,Ibuprofen,IBUPROFEN,20160414,Nonsteroidal Anti-inflammatory Drug,,BI COASTAL PHARMA INTERNATIONAL LLC,2016/04/14-,42582-111; 42582-112; 42582-113,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9c4d2f91-5db5-4f8f-bb95-eb4dec94a6cc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9c4d2f91-5db5-4f8f-bb95-eb4dec94a6cc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9c4d2f91-5db5-4f8f-bb95-eb4dec94a6cc,9c4d2f91-5db5-4f8f-bb95-eb4dec94a6cc
HUMAN OTC DRUG LABEL,SUSPENSION,ORAL,ANDA,74937,ShopRite Ibuprofen,IBUPROFEN,20160302,Nonsteroidal Anti-inflammatory Drug,,WAKEFERN FOOD CORPORATION,2014/05/12-,41190-897,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3c2d4ad6-4ea7-42e9-8cbf-0e827b6e6f83/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3c2d4ad6-4ea7-42e9-8cbf-0e827b6e6f83,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3c2d4ad6-4ea7-42e9-8cbf-0e827b6e6f83,3c2d4ad6-4ea7-42e9-8cbf-0e827b6e6f83
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,91239,Ibuprofen,IBUPROFEN,20160301,Nonsteroidal Anti-inflammatory Drug,,SDA LABORATORIES INC,2016/03/01-,66424-396,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1c1e72fd-0c88-4220-a972-2419b118d9c6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1c1e72fd-0c88-4220-a972-2419b118d9c6,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1c1e72fd-0c88-4220-a972-2419b118d9c6,1c1e72fd-0c88-4220-a972-2419b118d9c6
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,91239,Ibuprofen,IBUPROFEN,20160301,Nonsteroidal Anti-inflammatory Drug,,KINRAY INC,2016/03/01-,61715-167,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6bc45351-5bb0-4b5e-ba1c-7b5149c5c0bc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6bc45351-5bb0-4b5e-ba1c-7b5149c5c0bc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6bc45351-5bb0-4b5e-ba1c-7b5149c5c0bc,6bc45351-5bb0-4b5e-ba1c-7b5149c5c0bc
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,91237,Ibuprofen,IBUPROFEN,20160301,Nonsteroidal Anti-inflammatory Drug,,KINRAY INC,2016/03/01-,61715-168,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7cc53a7b-dff7-487a-b0e2-eef7f69b83ef/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7cc53a7b-dff7-487a-b0e2-eef7f69b83ef,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7cc53a7b-dff7-487a-b0e2-eef7f69b83ef,7cc53a7b-dff7-487a-b0e2-eef7f69b83ef
HUMAN OTC DRUG LABEL,"TABLET, COATED",ORAL,ANDA,79129,NUPRIN IMMEDIATE RELEASE,IBUPROFEN,20160204,Nonsteroidal Anti-inflammatory Drug,,STRIDES ARCOLAB LIMITED,2015/12/16-,64380-788,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/78de585a-6b73-4151-93bd-d73fa74a9614/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=78de585a-6b73-4151-93bd-d73fa74a9614,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=78de585a-6b73-4151-93bd-d73fa74a9614,78de585a-6b73-4151-93bd-d73fa74a9614
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20160119,Nonsteroidal Anti-inflammatory Drug,,NCS HEALTHCARE OF KY INC DBA VANGARD LABS,2009/11/23-,0615-2525; 0615-2526; 0615-2528,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/10a13157-0c0b-4d54-9e49-7d78ed6fb9e8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=10a13157-0c0b-4d54-9e49-7d78ed6fb9e8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=10a13157-0c0b-4d54-9e49-7d78ed6fb9e8,10a13157-0c0b-4d54-9e49-7d78ed6fb9e8
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78329,ibuprofen,IBUPROFEN,20151229,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2012/08/23-,10544-084,WK2XYI10QM,ibuprofen,ibuprofen,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6316b345-beb0-4be6-a9c6-b3881d310eff/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6316b345-beb0-4be6-a9c6-b3881d310eff,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6316b345-beb0-4be6-a9c6-b3881d310eff,6316b345-beb0-4be6-a9c6-b3881d310eff
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,75682,Ibuprofen,IBUPROFEN,20151213,Nonsteroidal Anti-inflammatory Drug,,NORTHWIND PHARMACEUTICALS,2015/11/04-,51655-851,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/26cd56b0-edbb-74f3-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=26cd56b0-edbb-74f3-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=26cd56b0-edbb-74f3-e054-00144ff8d46c,26cd56b0-edbb-74f3-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,ibuprofen,IBUPROFEN,20151116,Nonsteroidal Anti-inflammatory Drug,,ASCEND LABORATORIES LLC,2012/02/22-,67877-295,WK2XYI10QM,ibuprofen,ibuprofen,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ed1dc2d6-d0eb-4731-a0cd-31a64fe1ebd2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ed1dc2d6-d0eb-4731-a0cd-31a64fe1ebd2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ed1dc2d6-d0eb-4731-a0cd-31a64fe1ebd2,ed1dc2d6-d0eb-4731-a0cd-31a64fe1ebd2
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,75682,IBUPROFEN,IBUPROFEN,20151021,Nonsteroidal Anti-inflammatory Drug,,DIRECTRX,2015/01/01-,61919-960,WK2XYI10QM,Ibuprofen,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/82a4f9da-6f37-4686-aff2-c453bcf1dfd5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=82a4f9da-6f37-4686-aff2-c453bcf1dfd5,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=82a4f9da-6f37-4686-aff2-c453bcf1dfd5,82a4f9da-6f37-4686-aff2-c453bcf1dfd5
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,Alivio,IBUPROFEN,20150731,Nonsteroidal Anti-inflammatory Drug,,ALIVIO MEDICAL PRODUCTS LLC,2015/07/01-,69512-800,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fc9add15-4b73-4b07-8da9-83744c201b63/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fc9add15-4b73-4b07-8da9-83744c201b63,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fc9add15-4b73-4b07-8da9-83744c201b63,fc9add15-4b73-4b07-8da9-83744c201b63
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,Alivio,IBUPROFEN,20150730,Nonsteroidal Anti-inflammatory Drug,,ALIVIO MEDICAL PRODUCTS LLC,2015/07/01-,69512-600,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/caaf870b-d660-4cf3-b4f0-522b327a6444/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=caaf870b-d660-4cf3-b4f0-522b327a6444,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=caaf870b-d660-4cf3-b4f0-522b327a6444,caaf870b-d660-4cf3-b4f0-522b327a6444
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,Alivio,IBUPROFEN,20150723,Nonsteroidal Anti-inflammatory Drug,,ALIVIO MEDICAL PRODUCTS LLC,2015/07/01-,69512-400,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/cb2d51e3-aede-41e1-b0a3-0db93ded44b2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cb2d51e3-aede-41e1-b0a3-0db93ded44b2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cb2d51e3-aede-41e1-b0a3-0db93ded44b2,cb2d51e3-aede-41e1-b0a3-0db93ded44b2
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,79129,Quality Choice Ibuprofen 200,IBUPROFEN,20150612,Nonsteroidal Anti-inflammatory Drug,,CHAIN DRUG MARKETING ASSOCIATION,2014/07/23-,63868-977,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/13b43016-153f-468e-a4b8-858e0ffe5d99/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=13b43016-153f-468e-a4b8-858e0ffe5d99,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=13b43016-153f-468e-a4b8-858e0ffe5d99,13b43016-153f-468e-a4b8-858e0ffe5d99
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,ibuprofen,IBUPROFEN,20150605,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2015/06/03-,10544-924,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/17c83898-37a9-4cf9-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=17c83898-37a9-4cf9-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=17c83898-37a9-4cf9-e054-00144ff88e88,17c83898-37a9-4cf9-e054-00144ff88e88
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150518,Nonsteroidal Anti-inflammatory Drug,,NORTHWIND PHARMACEUTICALS LLC,2014/10/28-,51655-035,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b6787989-8ec0-4519-871a-6bca926127c1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b6787989-8ec0-4519-871a-6bca926127c1,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b6787989-8ec0-4519-871a-6bca926127c1,b6787989-8ec0-4519-871a-6bca926127c1
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,76460,Ibuprofen,IBUPROFEN,20150501,Nonsteroidal Anti-inflammatory Drug,,MEDLINE INDUSTRIES INC,2015/04/21-,53329-677,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/15821573-03c8-490f-9295-74430aa07dfe/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=15821573-03c8-490f-9295-74430aa07dfe,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=15821573-03c8-490f-9295-74430aa07dfe,15821573-03c8-490f-9295-74430aa07dfe
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150410,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2010/04/28-,10544-214,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/40c5dd26-8f05-41d9-aa21-f0713b2fbfe3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=40c5dd26-8f05-41d9-aa21-f0713b2fbfe3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=40c5dd26-8f05-41d9-aa21-f0713b2fbfe3,40c5dd26-8f05-41d9-aa21-f0713b2fbfe3
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150409,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2010/03/10-,10544-213,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ec090526-a623-4e65-8b63-916c49237275/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ec090526-a623-4e65-8b63-916c49237275,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ec090526-a623-4e65-8b63-916c49237275,ec090526-a623-4e65-8b63-916c49237275
HUMAN OTC DRUG LABEL,TABLET,ORAL,ANDA,79129,Flex-Prin,IBUPROFEN,20150403,Nonsteroidal Anti-inflammatory Drug,,PROVISION MEDICAL PRODUCTS,2015/03/31-,69103-2525,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c01538b0-ca4c-434a-be8f-fe023deb84e1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c01538b0-ca4c-434a-be8f-fe023deb84e1,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c01538b0-ca4c-434a-be8f-fe023deb84e1,c01538b0-ca4c-434a-be8f-fe023deb84e1
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150401,Nonsteroidal Anti-inflammatory Drug,,NORTHWIND PHARMACEUTICALS,2014/06/01-,51655-051,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dcd6507e-c15b-4035-ac3d-4d414fcf958a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dcd6507e-c15b-4035-ac3d-4d414fcf958a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dcd6507e-c15b-4035-ac3d-4d414fcf958a,dcd6507e-c15b-4035-ac3d-4d414fcf958a
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150305,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2010/09/15-; 2010/11/03-; 2010/12/20-,10544-015; 10544-024; 10544-030,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8576a1a3-c3c0-4a5e-8b8a-b55d1999fdd1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8576a1a3-c3c0-4a5e-8b8a-b55d1999fdd1,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8576a1a3-c3c0-4a5e-8b8a-b55d1999fdd1,8576a1a3-c3c0-4a5e-8b8a-b55d1999fdd1
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,ibuprofen,IBUPROFEN,20150305,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2014/02/04-,10544-201; 10544-430; 10544-431,WK2XYI10QM,ibuprofen,ibuprofen,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/37a7a356-bd9e-4dd8-98cc-bd3650a09105/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=37a7a356-bd9e-4dd8-98cc-bd3650a09105,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=37a7a356-bd9e-4dd8-98cc-bd3650a09105,37a7a356-bd9e-4dd8-98cc-bd3650a09105
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20150301,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2010/05/17-,10544-613,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/05507c46-5292-43f1-bff7-5e1ee659ca3d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=05507c46-5292-43f1-bff7-5e1ee659ca3d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=05507c46-5292-43f1-bff7-5e1ee659ca3d,05507c46-5292-43f1-bff7-5e1ee659ca3d
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,75682,IBU,IBUPROFEN,20150219,Nonsteroidal Anti-inflammatory Drug,,BLENHEIM PHARMACAL INC,2012/03/23-; 2014/01/14-,10544-071; 10544-625,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0f7b92ea-a828-70a9-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0f7b92ea-a828-70a9-e054-00144ff8d46c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0f7b92ea-a828-70a9-e054-00144ff8d46c,0f7b92ea-a828-70a9-e054-00144ff8d46c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,ibuprofen,IBUPROFEN,20150115,Nonsteroidal Anti-inflammatory Drug,,ASCEND LABORATORIES LLC,2012/02/22-,67877-294; 67877-295; 67877-296,WK2XYI10QM,ibuprofen,ibuprofen,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/397979cb-f605-4211-b810-0a4572d4b973/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=397979cb-f605-4211-b810-0a4572d4b973,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=397979cb-f605-4211-b810-0a4572d4b973,397979cb-f605-4211-b810-0a4572d4b973
HUMAN OTC DRUG LABEL,"CAPSULE, LIQUID FILLED",ORAL,ANDA,78682,Ibuprofen,IBUPROFEN,20141205,Nonsteroidal Anti-inflammatory Drug,,BJWC BERKLEY AND JENSEN BJ S,2013/05/15-,68391-199,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e28d3d21-b86c-453f-ab2e-49ace4770151/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e28d3d21-b86c-453f-ab2e-49ace4770151,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e28d3d21-b86c-453f-ab2e-49ace4770151,e28d3d21-b86c-453f-ab2e-49ace4770151
HUMAN OTC DRUG LABEL,"TABLET, COATED",ORAL,ANDA,79129,IBUPROFEN IMMEDIATE RELEASE,IBUPROFEN,20141118,Nonsteroidal Anti-inflammatory Drug,,DISCOUNT DRUG MART,2014/12/22-,53943-401,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a1e34918-1d74-4eff-a680-80bde3243007/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a1e34918-1d74-4eff-a680-80bde3243007,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a1e34918-1d74-4eff-a680-80bde3243007,a1e34918-1d74-4eff-a680-80bde3243007
HUMAN OTC DRUG LABEL,"TABLET, COATED",ORAL,ANDA,79129,IBUPROFEN IMMEDIATE RELEASE,IBUPROFEN,20141118,Nonsteroidal Anti-inflammatory Drug,,DISCOUNT DRUG MART,2014/12/22-,53943-403,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/baf329a1-cef9-445e-8a16-26976e22f4cc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=baf329a1-cef9-445e-8a16-26976e22f4cc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=baf329a1-cef9-445e-8a16-26976e22f4cc,baf329a1-cef9-445e-8a16-26976e22f4cc
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90796,ibuprofen,IBUPROFEN,20141114,Nonsteroidal Anti-inflammatory Drug,,RXCHANGE CO,2014/11/09-,33358-187,WK2XYI10QM,ibuprofen,ibuprofen,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/373aad4c-45a6-4e69-8791-d4f93c2f645c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=373aad4c-45a6-4e69-8791-d4f93c2f645c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=373aad4c-45a6-4e69-8791-d4f93c2f645c,373aad4c-45a6-4e69-8791-d4f93c2f645c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,78558,Ibuprofen,IBUPROFEN,20141109,Nonsteroidal Anti-inflammatory Drug,,RXCHANGE CO,2009/11/23-,33358-188,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/db056a0b-4e2d-4e62-a80c-d85b4e3660cf/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=db056a0b-4e2d-4e62-a80c-d85b4e3660cf,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=db056a0b-4e2d-4e62-a80c-d85b4e3660cf,db056a0b-4e2d-4e62-a80c-d85b4e3660cf
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, COATED",ORAL,ANDA,78329,Ibuprofen,IBUPROFEN,20141101,Nonsteroidal Anti-inflammatory Drug,,BIOMES PHARMACEUTICALS LLC,2009/05/02-,69150-600,WK2XYI10QM,IBUPROFEN,IBUPROFEN,WK2XYI10QM,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d9e622a5-299b-436a-9464-b0a1e4ff3508/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d9e622a5-299b-436a-9464-b0a1e4ff3508,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d9e622a5-299b-436a-9464-b0a1e4ff3508,d9e622a5-299b-436a-9464-b0a1e4ff3508
